Sample in Buffer,Sample in Window,TRIGGER,dut/design_1_i/Vac_debug_valid,dut/design_1_i/isen_debug_decimal_out[15:0],dut/design_1_i/Vbus_debug_decimal_out[15:0],dut/design_1_i/Vac_debug_decimal_out[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,UNSIGNED,UNSIGNED
498,498,0,0,225,0,33
499,499,0,0,225,0,33
500,500,0,0,225,0,33
501,501,0,0,225,0,33
502,502,0,0,225,0,33
503,503,0,0,225,0,33
504,504,0,0,225,0,33
505,505,0,0,225,0,33
506,506,0,0,225,0,33
507,507,0,0,225,0,33
508,508,0,0,225,0,33
509,509,0,0,225,0,33
510,510,0,0,225,0,33
511,511,0,0,225,0,33
512,512,1,0,225,0,33
513,513,0,0,225,0,33
514,514,0,0,225,0,33
515,515,0,0,225,0,33
516,516,0,0,225,0,33
517,517,0,0,225,0,33
518,518,0,0,225,0,33
519,519,0,0,225,0,33
520,520,0,0,225,0,33
521,521,0,0,225,0,33
522,522,0,0,225,0,33
523,523,0,0,225,0,33
524,524,0,0,225,0,33
525,525,0,0,225,0,33
526,526,0,0,225,0,33
527,527,0,0,225,0,33
528,528,0,0,225,0,33
529,529,0,0,225,0,33
530,530,0,0,225,0,33
531,531,0,0,225,0,33
532,532,0,0,225,0,33
533,533,0,0,225,0,33
534,534,0,0,225,0,33
535,535,0,0,225,0,33
536,536,0,0,225,0,33
537,537,0,0,225,0,33
538,538,0,0,225,0,33
539,539,0,0,225,0,33
540,540,0,0,225,0,33
541,541,0,0,225,0,33
542,542,0,0,225,0,33
543,543,0,0,225,0,33
544,544,0,0,225,0,33
545,545,0,0,225,0,33
546,546,0,0,225,0,33
547,547,0,0,225,0,33
548,548,0,0,225,0,33
549,549,0,0,225,0,33
550,550,0,0,225,0,33
551,551,0,0,225,0,33
552,552,0,0,225,0,33
553,553,0,0,225,0,33
554,554,0,0,225,0,33
555,555,0,0,225,0,33
556,556,0,0,225,0,33
557,557,0,0,225,0,33
558,558,0,0,225,0,33
559,559,0,0,225,0,33
560,560,0,0,225,0,33
561,561,0,0,225,0,33
562,562,0,0,225,0,33
563,563,0,0,225,0,33
564,564,0,0,225,0,33
565,565,0,0,225,0,33
566,566,0,0,225,0,33
567,567,0,0,225,0,33
568,568,0,0,225,0,33
569,569,0,0,225,0,33
570,570,0,0,225,0,33
571,571,0,0,225,0,33
572,572,0,0,225,0,33
573,573,0,0,225,0,33
574,574,0,0,225,0,33
575,575,0,0,225,0,33
576,576,0,0,225,0,33
577,577,0,0,225,0,33
578,578,0,0,225,0,33
579,579,0,0,225,0,33
580,580,0,0,225,0,33
581,581,0,0,225,0,33
582,582,0,0,225,0,33
583,583,0,0,225,0,33
584,584,0,0,225,0,33
585,585,0,0,225,0,33
586,586,0,0,225,0,33
587,587,0,0,225,0,33
588,588,0,0,225,0,33
589,589,0,0,225,0,33
590,590,0,0,225,0,33
591,591,0,0,225,0,33
592,592,0,0,225,0,33
593,593,0,0,225,0,33
594,594,0,0,225,0,33
595,595,0,0,225,0,33
596,596,0,0,225,0,33
597,597,0,0,225,0,33
598,598,0,0,225,0,33
599,599,0,0,225,0,33
600,600,0,0,225,0,33
601,601,0,0,225,0,33
602,602,0,0,225,0,33
603,603,0,0,225,0,33
604,604,0,0,225,0,33
605,605,0,0,225,0,33
606,606,0,0,225,0,33
607,607,0,0,225,0,33
