Sample in Buffer,Sample in Window,TRIGGER,dut/design_1_i/Vac_debug_valid,dut/design_1_i/isen_debug_decimal_out[15:0],dut/design_1_i/Vbus_debug_decimal_out[15:0],dut/design_1_i/Vac_debug_decimal_out[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,UNSIGNED,UNSIGNED
739,739,0,0,145,24,60
740,740,0,0,145,24,60
741,741,0,0,145,24,60
742,742,0,0,145,24,60
743,743,0,0,145,24,60
744,744,0,0,145,24,60
745,745,0,0,145,24,60
746,746,0,0,145,24,60
747,747,0,0,145,24,60
748,748,0,0,145,24,60
749,749,0,0,145,24,60
750,750,0,0,145,24,60
751,751,0,0,145,24,60
752,752,0,0,145,24,60
753,753,0,0,145,24,60
754,754,0,0,145,24,60
755,755,0,0,145,24,60
756,756,0,0,145,24,60
757,757,0,0,145,24,60
758,758,0,0,145,24,60
759,759,0,0,145,24,60
760,760,0,0,145,24,60
761,761,0,0,145,24,60
762,762,0,0,145,24,60
763,763,0,0,145,24,60
764,764,0,0,145,24,60
765,765,0,0,145,24,60
766,766,0,0,145,24,60
767,767,0,0,145,24,60
768,768,0,0,145,24,60
769,769,0,0,145,24,60
770,770,0,0,145,24,60
771,771,0,0,145,24,60
772,772,0,0,145,24,60
773,773,0,0,145,24,60
774,774,0,0,145,24,60
775,775,0,0,145,24,60
776,776,0,0,145,24,60
777,777,0,0,145,24,60
778,778,0,0,145,24,60
779,779,0,0,145,24,60
780,780,0,0,145,24,60
781,781,0,0,145,24,60
782,782,0,0,145,24,60
783,783,0,0,145,24,60
784,784,0,0,145,24,60
785,785,0,0,145,24,60
786,786,0,0,145,24,60
787,787,0,0,145,24,60
788,788,0,0,145,24,60
789,789,0,0,145,24,60
790,790,0,0,145,24,60
791,791,0,0,145,24,60
792,792,0,0,145,24,60
793,793,0,0,145,24,60
794,794,0,0,145,24,60
795,795,0,0,145,24,60
796,796,0,0,145,24,60
797,797,0,0,145,24,60
798,798,0,0,145,24,60
799,799,0,0,145,24,60
800,800,0,0,145,24,60
801,801,0,0,145,24,60
802,802,0,0,145,24,60
803,803,0,0,145,24,60
804,804,0,0,145,24,60
805,805,0,0,145,24,60
806,806,0,0,145,24,60
807,807,0,0,145,24,60
808,808,0,0,145,24,60
809,809,0,0,145,24,60
810,810,0,0,145,24,60
811,811,0,0,145,24,60
812,812,0,0,145,24,60
813,813,0,0,145,24,60
814,814,0,0,145,24,60
815,815,0,0,145,24,60
816,816,0,0,145,24,60
817,817,0,0,145,24,60
818,818,0,0,145,24,60
819,819,0,0,145,24,60
